Instance Type;GPUs;vCPU;Memory (GiB);Storage (GB);Networking Performance;Physical Processor;Clock Speed (GHz);Intel AVX;Intel AVX2;Intel Turbo;EBS OPT;Enhanced Network;EU (Frankfurt);Asia Pacific (Singapore);US East (Ohio);Asia Pacific (Seoul);AWS GovCloud (US);EU (Ireland);US East (N. Virginia);US West (Oregon);Asia Pacific (Tokyo);South America (Sao Paulo);EU (London);Asia Pacific (Sydney);Canada (Central);Asia Pacific (Mumbai);US West (N. California);EU (Paris);Asia Pacific (Osaka-Local)
i2;i2;32;NA;NA;NA;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;-;8.9120000000;8.9540000000;7.5020000000;8.8040000000;9.0020000000;8.2520000000;7.5020000000;7.5020000000;8.8040000000;;;8.9540000000;;8.5060000000;8.2520000000;;
c5.9xlarge;c5.9xlarge;36;72 GiB;EBS only;10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;6.1810000000;6.0840000000;1.6220000000;7.7040000000;17.1020000000;1.7280000000;2.1380000000;1.6220000000;4.3220000000;2.6180000000;6.2570000000;3.7750000000;16.8300000000;7.6050000000;2.0320000000;15.3180000000;
x1e.2xlarge;x1e.2xlarge;8;244 GiB;1 x 240 SSD;Up to 10 Gigabit;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;-;-;Yes;3.0710000000;;;;2.2000000000;2.5030000000;1.6680000000;2.7950000000;5.4180000000;;;3.7460000000;;;;;
c4.xlarge;c4.xlarge;4;7.5 GiB;EBS only;High;Intel Xeon E5-2666 v3 (Haswell);2.9 GHz;-;-;-;-;Yes;0.6520000000;0.2980000000;0.3190000000;0.2500000000;0.2390000000;0.2940000000;0.3190000000;0.2790000000;0.3120000000;0.5640000000;1.7620000000;0.3540000000;0.4240000000;0.7000000000;0.7410000000;;0.7570000000
t2.large;t2.large;2;8 GiB;EBS only;Low to Moderate;Intel Xeon Family;Up to 3.0 GHz;-;-;-;-;-;0.1072000000;0.1844000000;0.1528000000;0.1152000000;0.1088000000;0.2008000000;0.1604000000;0.1528000000;0.1496000000;0.1768000000;0.1336000000;0.2168000000;0.2024000000;0.1982000000;0.1704000000;0.1732000000;0.1496000000
r5d.xlarge;r5d.xlarge;4;32 GiB;1 x 150 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;0.4060000000;2.0530000000;0.9690000000;1.0100000000;;2.0230000000;0.4720000000;0.3480000000;0.3690000000;;0.5220000000;0.6000000000;0.4410000000;;0.4040000000;;
r5.24xlarge;r5.24xlarge;96;768 GiB;EBS only;25 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;7.4460000000;7.2960000000;10.4640000000;13.3340000000;11.6640000000;22.7040000000;6.1780000000;17.5680000000;23.2320000000;;23.0400000000;7.3980000000;12.6620000000;;6.7200000000;8.7260000000;
p3.8xlarge;p3.8xlarge;32;244 GiB;EBS only;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;16.3860000000;19.9240000000;12.3400000000;21.3530000000;15.7430000000;13.3500000000;12.2400000000;13.0360000000;22.4440000000;;16.7610000000;21.3830000000;13.4640000000;;;;
m5.2xlarge;m5.2xlarge;8;32 GiB;EBS only;Up to 10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;0.6260000000;1.0130000000;0.5190000000;1.0030000000;0.6160000000;0.4280000000;0.3840000000;0.5140000000;0.6640000000;0.7820000000;1.4040000000;1.8400000000;0.9310000000;1.7570000000;3.8160000000;3.8460000000;
i3.4xlarge;i3.4xlarge;16;122 GiB;2 x 1900 NVMe SSD;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;1.6370000000;2.3820000000;2.3910000000;4.1200000000;8.2400000000;1.5140000000;2.2660000000;1.3730000000;1.5640000000;2.4180000000;4.1040000000;7.6460000000;2.2500000000;1.6860000000;1.6440000000;3.3680000000;1.5940000000
i3.2xlarge;i3.2xlarge;8;61 GiB;1 x 1900 NVMe SSD;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;0.8440000000;3.8230000000;1.1330000000;4.1730000000;0.8520000000;0.8870000000;0.6860000000;2.0140000000;2.0600000000;4.1440000000;1.1640000000;0.8780000000;0.8570000000;0.8430000000;0.7570000000;0.8960000000;0.7320000000
c5.4xlarge;c5.4xlarge;16;32 GiB;EBS only;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;1.7820000000;2.7040000000;0.6800000000;0.9180000000;0.9650000000;1.8250000000;0.7800000000;3.3360000000;1.1850000000;1.3180000000;0.9080000000;7.6240000000;3.4000000000;3.3800000000;3.5590000000;1.8670000000;
m4;m4;40;NA;NA;NA;Intel Xeon E5-2676 v3 (Haswell);2.4 GHz;-;-;-;-;-;2.9040000000;3.0250000000;2.4200000000;2.9770000000;;2.6860000000;2.4200000000;2.4200000000;3.1220000000;3.8480000000;2.8070000000;3.0250000000;2.6860000000;2.5410000000;2.8310000000;2.8070000000;3.1220000000
m4.4xlarge;m4.4xlarge;16;64 GiB;EBS only;High;Intel Xeon E5-2676 v3 (Haswell);2.4 GHz;-;-;-;-;Yes;1.0560000000;1.2000000000;1.8440000000;1.0824000000;3.6640000000;1.6240000000;6.8800000000;2.8000000000;2.1532000000;1.3992000000;1.7568000000;1.2000000000;0.9768000000;1.1944000000;6.9360000000;;1.2352000000
d2.4xlarge;d2.4xlarge;16;122 GiB;12 x 2000 HDD;High;Intel Xeon E5-2676v3 (Haswell);2.4 GHz;-;-;-;-;Yes;3.4780000000;10.2160000000;2.8900000000;4.1120000000;3.3120000000;3.2420000000;3.0360000000;9.4960000000;10.1120000000;;3.8230000000;3.4800000000;9.7700000000;3.3060000000;4.1740000000;3.1880000000;4.1120000000
