Instance Type;GPUs;vCPU;Memory (GiB);Storage (GB);Networking Performance;Physical Processor;Clock Speed (GHz);Intel AVX;Intel AVX2;Intel Turbo;EBS OPT;Enhanced Network;EU (Frankfurt);Asia Pacific (Singapore);US East (Ohio);Asia Pacific (Seoul);AWS GovCloud (US);EU (Ireland);US East (N. Virginia);US West (Oregon);Asia Pacific (Tokyo);South America (Sao Paulo);EU (London);Asia Pacific (Sydney);Canada (Central);Asia Pacific (Mumbai);US West (N. California);EU (Paris);Asia Pacific (Osaka-Local)
c4;c4;36;NA;NA;NA;Intel Xeon E5-2666 v3 (Haswell);2.9 GHz;-;-;-;-;-;1.9990000000;2.0330000000;1.7500000000;1.9970000000;2.1070000000;1.9920000000;1.7500000000;1.7500000000;2.2180000000;;2.0920000000;2.2940000000;1.9250000000;1.7600000000;2.1920000000;2.0940000000;2.2180000000
f1.2xlarge;f1.2xlarge;8;122 GiB;EBS only;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);;-;-;-;-;-;;;;;1.9800000000;2.1265000000;1.9450000000;1.7800000000;;;;;;;2.0130000000;;
m3;m3;8;NA;NA;NA;Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge);2.5 GHz;-;-;-;-;-;2.7720000000;3.4500000000;;;2.9570000000;2.5780000000;2.3410000000;2.3410000000;3.3880000000;3.3530000000;;3.2740000000;;;2.7100000000;;
c5;c5;72;NA;NA;NA;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;-;3.8410000000;3.8810000000;3.3660000000;3.8020000000;4.0390000000;3.8020000000;3.3660000000;3.3660000000;4.2370000000;5.1880000000;4.0000000000;4.3960000000;3.6830000000;3.3660000000;4.1980000000;;
t1.micro;t1.micro;1;0.613 GiB;EBS only;Very Low;Variable;;-;-;-;-;-;;0.0300000000;;;0.0340000000;0.0300000000;0.0200000000;0.0700000000;0.0260000000;0.0770000000;;0.0750000000;;;0.0350000000;;
g2;g2;32;NA;NA;NA;Intel Xeon E5-2670 (Sandy Bridge);2.6 GHz;-;-;-;-;-;3.3970000000;4.4000000000;;;;3.0890000000;2.8600000000;2.8600000000;3.9510000000;;;3.9510000000;;;3.0890000000;;
u-6tb1;u-6tb1;448;6144 GiB;EBS only;25 Gigabit;Intel Xeon Scalable (Skylake) processors;;-;-;-;-;-;;;;;;;17.5440000000;;25.4380000000;;;;;;;;
i3;i3;64;NA;NA;NA;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;-;6.5470000000;6.5820000000;5.4910000000;6.4420000000;6.6180000000;6.0540000000;5.4910000000;5.4910000000;6.4420000000;10.0670000000;6.3710000000;6.5820000000;6.0540000000;6.2300000000;6.0540000000;6.3710000000;6.4420000000
c5d;c5d;72;NA;NA;NA;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;-;4.3960000000;4.4350000000;3.8020000000;4.3560000000;;4.3160000000;3.8020000000;3.8020000000;4.8310000000;;4.5540000000;4.9900000000;4.1980000000;;4.7520000000;;
p2;p2;64;NA;NA;NA;Intel Xeon E5-2686 v4 (Broadwell);;-;-;-;-;-;;;;;;17.1070000000;15.8400000000;15.8400000000;;;;;;;;;
r5;r5;96;NA;NA;NA;Intel Xeon Platinum 8175;;-;-;-;-;-;;;6.6530000000;;;7.4450000000;6.6530000000;6.6530000000;;;;;;;;;
x1;x1;128;NA;NA;NA;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;Yes;-;-;20.5410000000;21.2750000000;14.6720000000;21.2750000000;17.6070000000;17.6070000000;14.6720000000;14.6720000000;21.2750000000;;18.4870000000;21.2750000000;16.1390000000;20.2070000000;;18.4870000000;
r5d;r5d;96;NA;NA;NA;Intel Xeon Platinum 8175;;-;-;-;-;-;;;7.6030000000;;;;7.6030000000;7.6030000000;;;;;;;;;
f1;f1;64;NA;NA;NA;Intel Xeon E5-2686 v4 (Broadwell);;-;-;-;-;-;;;;;17.4240000000;15.9720000000;13.2000000000;14.5200000000;;;;;;;;;
u-12tb1;u-12tb1;448;12288 GiB;EBS only;25 Gigabit;Intel Xeon Scalable (Skylake) processors;;-;-;-;-;-;;;;;;;35.0880000000;;;;;;;;;;
z1d;z1d;48;NA;NA;NA;Intel Xeon Platinum 8151;;-;-;-;-;-;;5.9660000000;;;;5.4910000000;4.9100000000;4.9100000000;5.9930000000;;;;;;5.5700000000;;
u-9tb1;u-9tb1;448;9216 GiB;EBS only;25 Gigabit;Intel Xeon Scalable (Skylake) processors;;-;-;-;-;-;;;;;;;26.3160000000;;;;;;;;;;
h1;h1;64;NA;NA;NA;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;-;;;4.1180000000;;;4.5670000000;4.1180000000;4.1180000000;;;;;;;;;
